Index,  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
92,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246925e+17,15,0,150," ""Protocol """," ""tcpip.sys"""," ""TCPIP6""",,,,,,,,,,,,,,,,,,
93,Microsoft-Windows-PktMon,0,75,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246925e+17,15,0,150," ""EtherType """," ""IPv6 """,,,,,,,,,,,,,,,,,,,
94,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246925e+17,15,0,150," ""MiniportIfIndex """,12,,,,,,,,,,,,,,,,,,,
95,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246926e+17,15,0,150," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
96,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246926e+17,15,0,112," ""Protocol """," ""tcpip.sys"""," ""TCPIP6""",,,,,,,,,,,,,,,,,,
97,Microsoft-Windows-PktMon,0,75,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246926e+17,15,0,112," ""EtherType """," ""IPv6 """,,,,,,,,,,,,,,,,,,,
98,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246926e+17,15,0,112," ""MiniportIfIndex """,11,,,,,,,,,,,,,,,,,,,
99,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246926e+17,15,0,112," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
100,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246926e+17,15,0,111," ""Protocol """," ""tcpip.sys"""," ""TCPIP6""",,,,,,,,,,,,,,,,,,
101,Microsoft-Windows-PktMon,0,75,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246928e+17,15,0,111," ""EtherType """," ""IPv6 """,,,,,,,,,,,,,,,,,,,
